id,isfraud
36412270,0
36444068,0
37853449,0
36396815,0
36432507,0
38314434,0
38317400,0
36932920,0
36678951,0
36623925,0
36753413,0
36804368,0
35795540,0
38246853,0
33481009,0
35769653,0
37628571,0
35170425,0
35050982,0
34677571,0
34754554,0
34703628,0
36689651,0
37354385,0
36826147,0
39846265,0
37467725,0
37416683,0
33724942,0
37332761,0
33582218,0
33612375,0
33536216,0
33547939,0
37242413,0
33412084,0
38089725,0
33574223,0
33957160,0
36975422,0
33931725,0
33520694,0
33459263,0
37309618,0
33768025,0
33730920,0
33675301,0
33746412,0
33693423,0
33640053,0
33928957,0
33872194,0
40333004,0
33787122,0
34116854,0
33037188,0
33115521,0
33056464,0
32982529,0
33109423,0
33050189,0
33068155,0
33032574,0
33113818,0
35403876,0
38340972,0
38217471,0
38150814,0
32508391,0
32587447,0
33388267,0
33319906,0
35642716,0
37030756,0
36207848,0
36142607,0
33894145,0
33837842,0
35100750,0
35069668,0
39824725,0
39791998,0
39928484,0
39965024,0
35355055,0
35273278,0
34341377,0
34436586,0
33139423,0
33253994,0
32364628,0
39532819,0
32348552,0
36230865,0
37207292,0
36457685,0
38716368,0
35130382,0
34851206,0
34909082,0
39218006,0
39239286,0
39443584,0
32748232,0
38278031,0
32955250,0
40313255,0
40395827,0
35440454,0
35482063,0
35579373,0
32679743,0
32610658,0
35275835,0
35076879,0
35030961,0
33071974,0
32852520,0
33079548,0
35449211,0
33084296,0
33093175,0
33056587,0
32856479,0
32664866,0
37235375,0
35850869,0
35388423,0
37275900,0
37910282,0
37717976,0
36595354,0
37779951,0
34790359,0
38306068,0
34945925,0
34847494,0
34881417,0
32639843,0
38531399,0
38800167,0
35263245,0
34735919,0
35374252,0
35360725,0
39684200,0
35959443,0
35995213,0
36280885,0
36236828,0
36226817,0
36284676,0
36212967,0
36258534,0
36247768,0
36285728,0
36242234,0
36241799,0
36230151,0
36235941,0
36260642,0
36221610,0
36261593,0
36225747,0
36253330,0
36228341,0
36280658,0
36210248,0
36270207,0
36216347,0
36230920,0
36245766,0
36228589,0
35669266,0
32967668,0
36948868,0
37909978,0
33445877,0
36015635,0
35942561,0
35546535,0
33806623,0
35979985,0
35836803,0
37895961,0
37777656,0
34654194,0
34965735,0
35007326,0
34806319,0
34654168,0
35364933,0
34816815,0
34638604,0
34819304,0
35294053,0
35357336,0
34869607,0
38890739,0
39759461,0
35650567,0
34880359,0
34891476,0
35015616,0
35187309,0
34930404,0
34894797,0
35199721,0
34978865,0
34792074,0
35160032,0
35169861,0
34812252,0
35162328,0
34960348,0
34405354,0
33711752,0
33586881,0
32621177,0
35413641,0
33234894,0
32981733,0
32975861,0
32996009,0
33124592,0
33040484,0
33060169,0
33163051,0
33221527,0
33000763,0
33246624,0
33033089,0
33017226,0
32976313,0
33091839,0
33032210,0
32991484,0
32976861,0
33079616,0
33079203,0
33235652,0
33153816,0
32965283,0
32992734,0
38077090,0
38089253,0
38184936,0
38252789,0
38257852,0
38294427,0
36217177,0
38266650,0
36387448,0
34421334,0
36333808,0
38618372,0
40361367,0
39172797,0
37212706,0
37270922,0
37311757,0
33679926,0
33649615,0
33781674,0
37998212,0
35629244,0
35783482,0
39614569,0
33862279,0
37568015,0
33707378,0
33526248,0
35787959,0
35417707,0
38396600,0
35760823,0
35350505,0
36175421,0
35878943,0
33141464,0
38760242,0
40160315,0
40193995,0
40169124,0
33048930,0
33398847,0
33385088,0
38511599,0
38412638,0
34157561,0
34614037,0
33940111,0
40322790,0
40255221,0
38810525,0
38783374,0
38639648,0
34639359,0
32507355,0
32578481,0
32591469,0
32545313,0
32514341,0
32562140,0
32480560,0
32589400,0
32593673,0
32516071,0
32528960,0
32574032,0
32556798,0
32505645,0
32524888,0
32530071,0
32591338,0
34684839,0
33692062,0
37162628,0
33812881,0
37037287,0
33188409,0
33629127,0
36989775,0
33661631,0
33732651,0
33667341,0
33636548,0
33818239,0
33685021,0
33719103,0
33709069,0
39220515,0
32895207,0
32931400,0
33073378,0
39193908,0
39120298,0
33025689,0
33296232,0
33366131,0
33019942,0
34864450,0
33291268,0
40301046,0
40267585,0
37215056,0
38089804,0
38223790,0
33043620,0
33172500,0
37919892,0
36222753,0
35376328,0
35286847,0
35364124,0
38787516,0
37575788,0
39440649,0
33576004,0
33449375,0
36747962,0
36697009,0
33436284,0
35046354,0
35076488,0
39545359,0
36084241,0
36026119,0
36035550,0
36071202,0
35972848,0
36600536,0
36535206,0
37003873,0
37164118,0
32995741,0
32971960,0
37424412,0
40394244,0
36078781,0
39877812,0
37173426,0
35473876,0
35412518,0
33482851,0
35198182,0
37447706,0
35993870,0
36047665,0
35061263,0
33591337,0
37412881,0
33814071,0
33969817,0
35939833,0
35939126,0
35860897,0
36593628,0
35959727,0
34137703,0
34124258,0
34073131,0
34147195,0
34151376,0
34128015,0
38391878,0
38448907,0
36675907,0
37191548,0
36527930,0
37190368,0
36891020,0
37184136,0
37102325,0
36614900,0
37167796,0
36923756,0
37302848,0
36769598,0
37049656,0
38790814,0
37153272,0
38333993,0
32613630,0
39641608,0
39386871,0
39788447,0
39620766,0
39626989,0
39100949,0
37924195,0
39433613,0
39095976,0
38994412,0
38739724,0
38015939,0
38525810,0
39084792,0
38895531,0
39548537,0
38710175,0
